start,end,text
2630,7470,Глава 3 Глава!
7910,9990,Вас ждут Оранви и старейший Наргидон.
11010,14910,"Я оглядел склонившегося передо мной Годий, один из"
14910,18410,"двух предателей, которого я освободил от подчиняющей печати,"
18850,22430,"но обязал хранить верность семье сломанного клинка, на"
22430,25370,"всякий случай, в три цвета, но для всех"
25370,28450,рядовых Орденцев — верной новой семье и верному
28450,31390,"Ордену бывший и будущий Комптур, надеюсь."
32250,35930,Итогом всех наших разговоров под формацией стало именно
35930,40090,"это — подмена Морщинистого, утаивание части правды от"
40090,43250,"всех, кто был ниже рангом, чем Комптуры, и"
43250,45890,"утаивание большей части правды от всех, кто был"
45890,47310,"ниже рангом, чем Попечитель."
47890,50990,"Не идеальное решение, но время признания еще не"
50990,51350,пришло.
52150,55010,С каждым из обоих невольных предателей Ордена долго
55010,58730,"беседовал Озман, задавший им кучу вопросов под трехцветной"
58730,59210,истиной.
59210,61530,Каждый из них в итоге получил от него
61530,64489,"целое наставление, что и как сообщать их бывшим"
64489,68710,"хозяевам, клану Эрзум и второму, оставшемуся неизвестным."
69330,72510,"Я, представивший своим новым старейшинам и прочим Озмана,"
72850,75910,"главу знающих семьи, во время этого допроса и"
75910,78490,последующего обсуждения больше молчал и слушал.
79230,81930,"Своё дело я уже сделал, осадил Озмана с"
81930,85890,"его безумной идеей про Императора, представил его старейшинам."
85890,88630,"Дальше всё в их руках, я всё равно"
88630,90710,не знаю многих тонкостей жизни Императора.
91550,94150,"Как по мне, всё выходило вполне правдоподобно."
94850,98230,"Орден долго держался, много десятилетий верил в возможность"
98230,101290,заслужить прощение Императора в битвах с сектантами и
101290,105130,"получить право возродить Орден, но жёсткая проверка стражам,"
105270,107470,который на пустом месте искал что-то странное
107470,110910,"и унизил остатки Ордена, втоптал в грязь какие"
110910,114810,"-то прежние договорённости, наглядно показав, кем их считают,"
115210,118270,"привели к расколу, вернее, сразу к нескольким идущим"
118270,119170,подряд расколам.
119910,122790,Часть орденцев остались в Скунг и решили продолжить
122790,125550,"битву с сектантами, всё ещё надеясь на искупление"
125550,128130,или боясь отказаться от последних иллюзий.
128850,130370,Ушедшие развалились ещё раз.
131030,133930,"Одни, то есть мы, решили полностью порвать с"
133930,136970,"орденским прошлым и влиться в новую семью, начать"
136970,139050,"всё заново, отказавшись от прошлого."
139590,143250,"Другая, большая часть ушедших, решили, что можно заслужить"
143250,146730,"прощения императора другим способом, отыскав тело Раллера."
147410,150570,"Звучало безумно спустя половину столетия после той битвы,"
151030,153130,"но все уверяли меня, что этому поверят."
154010,156690,"Мне тоже оставалось лишь верить, верить тому, что"
156690,159570,в глазах получивших эти сообщения от уже бывших
159570,164830,"предателей орденцы выглядели слабыми, растерянными, сомневающимися в будущем"
164830,167790,"и выбранном пути, беспомощными и неопасными."
168610,171890,"Годи уже отчитался перед Эрзум, второй ещё нет,"
172310,173210,с ним было сложнее.
173910,175930,"Все, кому доносил он, сами искали с ним"
175930,179010,"встречи, предъявляя особый предмет, по которому он их"
179010,179590,узнавал.
180290,182890,"Сомневаюсь, что они заявятся за разговором в каменный"
182890,183610,лабиринт.
